iter	Passed	Remaining
0	149	148992
1	155	77769
2	160	53472
3	166	41436
4	171	34211
5	177	29326
6	182	25885
7	188	23340
8	193	21297
9	199	19769
10	206	18595
11	213	17569
12	220	16737
13	226	15919
14	232	15241
15	237	14612
16	243	14054
17	248	13566
18	254	13124
19	259	12718
20	265	12371
21	271	12047
22	276	11743
23	283	11524
24	289	11291
25	295	11054
26	306	11030
27	311	10805
28	317	10615
29	322	10421
30	327	10239
31	333	10077
32	338	9912
33	343	9753
34	349	9634
35	354	9493
36	359	9364
37	366	9274
38	371	9152
39	376	9040
40	383	8970
41	390	8905
42	397	8851
43	402	8755
44	408	8664
45	414	8595
46	419	8503
47	424	8418
48	430	8353
49	435	8273
50	440	8194
51	446	8134
52	451	8061
53	456	7996
54	462	7941
55	467	7879
56	472	7819
57	478	7778
58	484	7726
59	489	7676
60	496	7638
61	501	7584
62	506	7533
63	512	7496
64	518	7454
65	525	7435
66	530	7389
67	535	7343
68	541	7304
69	546	7256
70	551	7214
71	557	7180
72	562	7148
73	568	7110
74	573	7077
75	579	7045
76	584	7009
77	590	6979
78	596	6953
79	601	6917
80	607	6888
81	612	6858
82	617	6825
83	623	6802
84	630	6782
85	635	6750
86	641	6732
87	646	6702
88	651	6672
89	658	6655
90	663	6627
91	668	6599
92	674	6581
93	680	6555
94	685	6533
95	692	6522
96	698	6497
97	703	6477
98	709	6457
99	714	6433
100	720	6413
101	725	6390
102	731	6367
103	737	6350
104	742	6327
105	748	6310
106	753	6291
107	758	6268
108	764	6246
109	769	6227
110	774	6204
111	780	6188
112	786	6172
113	791	6152
114	796	6132
115	802	6113
116	808	6099
117	813	6080
118	818	6062
119	824	6044
120	829	6026
121	834	6009
122	840	5991
123	845	5974
124	851	5957
125	856	5942
126	861	5924
127	867	5909
128	872	5894
129	877	5875
130	883	5858
131	889	5847
132	894	5830
133	900	5817
134	905	5804
135	911	5788
136	916	5773
137	922	5759
138	927	5742
139	932	5727
140	938	5714
141	943	5700
142	949	5689
143	954	5675
144	959	5659
145	966	5651
146	972	5640
147	977	5629
148	983	5615
149	988	5602
150	994	5589
151	999	5576
152	1005	5566
153	1010	5552
154	1016	5539
155	1021	5525
156	1026	5513
157	1032	5500
158	1037	5487
159	1042	5472
160	1048	5462
161	1053	5449
162	1058	5437
163	1064	5425
164	1069	5412
165	1074	5398
166	1079	5384
167	1085	5375
168	1090	5362
169	1095	5349
170	1101	5339
171	1106	5326
172	1111	5314
173	1117	5305
174	1122	5293
175	1127	5280
176	1133	5271
177	1138	5258
178	1143	5245
179	1149	5237
180	1154	5224
181	1159	5212
